url,localizacao,tipo,area_ha,area_m2,descricao,preco,valor_m2,quartos,suites,vagas,creci,total_comodos,categoria_area,categoria_preco
/imovel/rural-4-quartos-venda-lago-norte-brasilia-df-nucleo-rural-bananal-1223847,"NUCLEO RURAL BANANAL, LAGO NORTE, BRASILIA","Venda Rural 1,00 ha",1.0,10000.0,"Chácara de 10.000m² no Lago Norte, ao Lado da Ponte do Bragueto, a 1km do Iguatemi, Boulevard e Noro",3790000.0,379.0,5,5,4,28467,10,Pequeno (≤1 ha),Alto (1.5M-5M)
/imovel/rural-0-quartos-venda-parque-estrela-dalva-vii-luziania-go-avenida-alfredo-nasser-1190003,"Avenida Alfredo Nasser, PARQUE ESTRELA DALVA VII, LUZIANIA","Venda Rural 0,05 ha",0.05,500.0,,1650000.0,3.0,0,0,6,29126,0,Pequeno (≤1 ha),Alto (1.5M-5M)
/imovel/rural-3-quartos-venda-lago-sul-brasilia-df-shis-qi-5-chacara-s-53-a-61-1027470,"SHIS QI 5 Chacará s 53 a 61, LAGO SUL, BRASILIA","Venda Rural 0,07 ha",0.07,700.0000000000001,SHIS QI 5 CASA DOS SONHOS LOCALIZAÇÃO PRIVILEGIADA,7500000.0,10.0,3,3,15,21418,6,Pequeno (≤1 ha),Muito Alto (>5M)
/imovel/rural-0-quartos-venda-area-rural-de-cidade-ocidental-cidade-ocidental-go-area-rural-863157,"AREA RURAL, AREA RURAL DE CIDADE OCIDENTAL, CIDADE OCIDENTAL","Venda Rural 2,00 ha",2.0,20000.0,"Vendo excelentes chácaras à partir de 2 ha, 6km do asfalto, acesso à subestação da Equatorial, próxi",150000.0,7.0,0,0,0,9722,0,Médio (1-10 ha),Baixo (≤500k)
/imovel/rural-4-quartos-venda-riacho-fundo-riacho-fundo-df-agricola-canegae-1231666,"Agrícola Canegae, RIACHO FUNDO, RIACHO FUNDO","Venda Rural 11,00 ha",11.0,110000.0,Riacho Fundo 1 Canegae 11 Ha com Água e Asfalto na Porta.,3400000.0,30.0,4,2,4,17954,6,Grande (10-100 ha),Alto (1.5M-5M)
/imovel/rural-0-quartos-venda-nucleo-rural-lago-oeste-sobradinho-df-rua-18-1141341,"Rua 18, NUCLEO RURAL LAGO OESTE, SOBRADINHO","Venda Rural 0,02 ha",0.02,200.0,(61) 3595-1212 CHACARA / 6 HECTARES /  LAGO OESTE / 61  3595-1212,1500000.0,7.0,0,0,0,23202,0,Pequeno (≤1 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-paranoa-paranoa-df-rodovia-df-130-km-31-1220883,"Rodovia DF 130 KM 31, PARANOA, PARANOA","Venda Rural 2,00 ha",2.0,20000.0,Ilha em lugar de muita paz.,2000000.0,100.0,0,0,2,24770,0,Médio (1-10 ha),Alto (1.5M-5M)
/imovel/rural-3-quartos-venda-taguatinga-norte-taguatinga-df-area-de-chacara-s-1218030,"Área de Chacará S, TAGUATINGA NORTE, TAGUATINGA","Venda Rural 1,60 ha",1.6,16000.0,"SITIO/CHÁCARA COM CASA 3 QUARTOS / BR070 FRENTE QNG TAG. NORTE , 22.000M²",1100000.0,68.0,3,1,2,19701,4,Médio (1-10 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-jardim-botanico-brasilia-df-df140-km-11-852892,"DF140 KM 11, JARDIM BOTANICO, BRASILIA","Venda Rural 2,50 ha",2.5,25000.0,CHÁCARA COM RIO NOS FUNDOS,1470000.0,58.0,0,0,3,24770,0,Médio (1-10 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-setor-oeste-gama-df-ponte-alta-de-cima-979696,"Ponte Alta de Cima, SETOR OESTE, GAMA","Venda Rural 6,50 ha",6.5,65000.0,Sítio Angico e Jacarepaguá Chácara com Lazer completo escriturada.,1495000.0,23.0,0,0,0,22899,0,Médio (1-10 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-planaltina-planaltina-df-rodovia-df-130-1229800,"RODOVIA DF 130, PLANALTINA, PLANALTINA","Venda Rural 18,00 ha",18.0,180000.0,,2000000.0,11.0,0,0,0,13747,0,Grande (10-100 ha),Alto (1.5M-5M)
/imovel/rural-0-quartos-venda-paranoa-paranoa-df-capao-da-onca-862406,"Capão da Onça, PARANOA, PARANOA","Venda Rural 37,51 ha",37.51,375100.0,,1500000.0,4.0,0,0,100,23144,0,Grande (10-100 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-paranoa-paranoa-df-rodovia-df-130-km-31-1089091,"Rodovia DF 130 KM 31, PARANOA, PARANOA","Venda Rural 0,80 ha",0.8,8000.0,córrego e muitas nascentes dentro do terreno,175000.0,21.0,0,0,1,24770,0,Pequeno (≤1 ha),Baixo (≤500k)
/imovel/rural-0-quartos-venda-zona-rural-santo-antonio-do-descoberto-go-area-rural-1222892,"Area Rural, ZONA RURAL, SANTO ANTONIO DO DESCOBERTO","Venda Rural 9,00 ha",9.0,90000.0,9 HECTARES DE LIBERDADE EM SANTO ANTÔNIO DO DESCOBERTO!,325000.0,3.0,0,0,20,17610,0,Médio (1-10 ha),Baixo (≤500k)
/imovel/rural-0-quartos-venda-zona-rural-brazlandia-df-zona-rural-1153481,"Zona Rural, ZONA RURAL, BRAZLANDIA","Venda Rural 0,07 ha",0.07,700.0000000000001,"Sítio de Alto Padrão Próximo a Brasília | 700m² Construídos Sítio Oásis BR-080, KM 10 - Brazlândia, Brasília - DF",6000000.0,8.0,0,0,20,27917,0,Pequeno (≤1 ha),Muito Alto (>5M)
/imovel/rural-4-quartos-venda-nova-colina-sobradinho-df-rodovia-df-330-1133211,"Rodovia DF 330, NOVA COLINA, SOBRADINHO","Venda Rural 5,60 ha",5.6,56000.0,"Chácara a venda formada - DF250 km 9,...",1650000.0,29.0,4,2,10,25364,6,Médio (1-10 ha),Alto (1.5M-5M)
